STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,1/31/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",47,",,0",19,",,0",40,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/1/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",61,",,0",28,",,0",48,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/2/1970,,,,,0.27,",,0,1800",0,",,0,",0,",,0,",62,",,0",38,",,0",58,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/3/1970,,,,,0.75,",,0,1800",0,",,0,",0,",,0,",60,",,0",34,",,0",35,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/4/1970,,,,,0.1,",,0,1800",0.5,",,0,",0,"T,,0,",35,",,0",10,",,0",23,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/5/1970,,,,,0,",,0,1800",0,",,0,",0,"T,,0,",38,",,0",12,",,0",30,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/6/1970,,,,,0,",,0,1800",0,",,0,",0,"T,,0,",48,",,0",22,",,0",37,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/7/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",48,",,0",27,",,0",38,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/8/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",49,",,0",19,",,0",41,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/9/1970,,,,,0.11,",,0,1800",0,",,0,",0,",,0,",52,",,0",36,",,0",47,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/10/1970,,,,,0.32,",,0,1800",0,",,0,",0,",,0,",48,",,0",40,",,0",43,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/11/1970,,,,,0.05,",,0,1800",0,",,0,",0,",,0,",52,",,0",34,",,0",47,",,0,1800"
USC00449151,"WILLIAMSBURG 2 N, VA US",37.3017,-76.7039,21.3,2/12/1970,,,,,0,",,0,1800",0,",,0,",0,",,0,",48,",,0",28,",,0",42,",,0,1800"
